"Number","Time (seconds)","Distance (meters)","Pace (seconds)","Watts","Cal/Hr","Stroke Rate","Heart Rate"
"1","2.8","10.9","151.2","101","648","0","74"
"2","5.3","22.1","113.8","237","1117","28","73"
"3","7.3","30.8","113.8","237","1117","28","73"
"4","9.3","39.5","115.3","228","1085","28","73"
"5","11.8","50.4","116.6","221","1059","27","73"
"6","13.8","58.8","116.6","221","1059","27","75"
"7","16.3","69.6","117.2","217","1048","27","82"
"8","18.3","78.0","117.2","217","1048","27","86"
"9","20.8","88.6","119.1","207","1013","27","95"
"10","22.8","97.1","119.1","207","1013","27","98"
"11","24.8","105.5","117.6","215","1040","27","98"
"12","27.3","116.2","117.7","215","1038","27","98"
"13","29.3","124.6","118.4","211","1025","27","100"
"14","31.8","135.5","117.4","216","1044","27","102"
"15","33.8","143.9","117.4","216","1044","27","102"
"16","35.8","152.5","117.2","217","1048","27","102"
"17","38.3","163.6","115.1","230","1089","28","103"
"18","40.3","172.0","115.1","230","1089","28","104"
"19","42.8","182.7","119.0","208","1014","26","105"
"20","44.8","191.0","119.0","208","1014","26","106"
"21","47.3","201.6","119.1","207","1013","26","106"
"22","49.3","210.1","119.1","207","1013","26","107"
"23","51.8","220.9","117.2","217","1048","27","109"
"24","53.8","229.3","117.2","217","1048","27","110"
"25","56.3","240.0","118.9","208","1016","27","112"
"26","58.3","248.3","118.9","208","1016","27","112"
"27","60.8","259.0","118.3","211","1027","26","112"
"28","62.8","267.4","118.3","211","1027","26","113"
"29","65.3","278.0","118.9","208","1016","26","114"
"30","67.3","286.3","119.2","207","1011","26","115"
"31","69.8","296.8","119.9","203","998","26","115"
"32","71.8","305.2","119.8","204","1000","27","116"
"33","74.3","315.9","117.1","218","1050","26","116"
"34","76.3","324.1","119.2","207","1011","27","117"
"35","78.8","334.6","121.6","195","969","27","118"
"36","80.8","343.1","119.7","204","1002","27","118"
"37","83.3","353.8","117.2","217","1048","26","119"
"38","85.8","364.6","118.6","210","1022","26","119"
"39","87.8","372.9","118.6","210","1022","26","120"
"40","90.3","383.7","117.9","214","1034","27","120"
"41","92.3","392.1","117.9","214","1034","27","120"
"42","94.8","402.7","119.4","206","1007","26","121"
"43","96.8","411.1","119.4","206","1007","26","121"
"44","98.8","419.6","117.7","215","1038","28","122"
"45","101.3","430.4","117.1","218","1050","27","122"
"46","103.3","438.8","117.8","214","1036","27","122"
"47","105.8","449.6","118.1","212","1031","27","123"
"48","107.8","458.0","118.1","212","1031","27","124"
"49","110.3","468.8","118.3","211","1027","27","124"
"50","112.3","477.0","118.3","211","1027","27","124"
"51","114.8","487.8","118.4","211","1025","27","124"
"52","116.8","496.1","118.4","211","1025","27","124"
"53","119.3","506.9","117.4","216","1044","27","125"
"54","121.3","515.3","117.4","216","1044","27","125"
"55","123.3","523.7","118.7","209","1020","27","126"
"56","125.8","534.3","118.9","208","1016","27","126"
"57","127.8","542.7","118.9","208","1016","27","126"
"58","129.8","551.0","119.3","206","1009","28","127"
"59","132.3","561.7","119.7","204","1002","28","127"
"60","134.8","572.5","117.6","215","1040","26","127"
"61","136.8","580.7","117.6","215","1040","26","127"
"62","139.3","591.5","117.9","214","1034","27","127"
"63","141.3","599.9","117.9","214","1034","27","128"
"64","143.8","610.5","119.8","204","1000","27","128"
"65","145.8","618.8","119.8","204","1000","27","128"
"66","148.3","629.5","118.6","210","1022","26","128"
"67","150.3","638.0","118.6","210","1022","26","128"
"68","152.8","648.6","118.8","209","1018","26","128"
"69","154.8","656.9","118.8","209","1018","26","128"
"70","157.3","667.5","119.5","205","1005","26","129"
"71","159.3","675.9","118.7","209","1020","26","129"
"72","161.8","686.5","118.1","212","1031","26","129"
"73","164.3","697.0","120.4","201","990","26","129"
"74","166.3","705.3","120.4","201","990","26","129"
"75","168.8","715.9","119.0","208","1014","26","129"
"76","170.8","724.2","119.6","205","1004","26","129"
"77","173.3","734.8","118.9","208","1016","26","129"
"78","175.3","743.1","119.4","206","1007","26","129"
"79","177.8","753.6","120.2","202","993","27","129"
"80","180.3","764.0","121.5","195","971","26","129"
"81","182.3","772.3","121.5","195","971","26","129"
"82","184.8","783.3","115.0","230","1092","26","129"
"83","186.8","791.6","115.0","230","1092","26","129"
"84","189.3","802.2","118.6","210","1022","26","129"
"85","191.8","812.9","118.6","210","1022","25","130"
"86","194.3","823.7","116.6","221","1059","26","130"
"87","196.3","832.2","116.6","221","1059","26","130"
"88","198.8","843.0","117.6","215","1040","26","130"
"89","200.8","851.4","117.6","215","1040","26","130"
"90","203.3","862.1","118.4","211","1025","26","131"
"91","205.3","870.5","117.5","216","1042","26","131"
"92","207.8","881.3","117.5","216","1042","26","131"
"93","209.8","889.8","117.5","216","1042","26","131"
"94","212.3","900.6","117.0","219","1052","27","131"
"95","214.3","909.1","117.0","219","1052","27","131"
"96","216.8","920.0","116.6","221","1059","27","131"
"97","218.8","928.6","116.6","221","1059","27","132"
"98","220.8","937.0","116.1","224","1069","27","132"
"99","223.3","947.7","117.8","214","1036","27","132"
"100","225.8","958.5","117.4","216","1044","26","132"
"101","227.8","967.0","117.4","216","1044","26","132"
"102","230.3","977.8","117.2","217","1048","26","132"
"103","232.3","986.2","117.2","217","1048","25","132"
"104","234.8","996.8","117.6","215","1040","26","132"
"105","237.3","1007.6","117.7","215","1038","27","132"
"106","239.3","1015.8","117.7","215","1038","27","132"
"107","241.8","1026.3","121.6","195","969","26","132"
"108","243.7","1034.5","121.6","195","969","26","132"
"109","246.2","1045.5","118.8","209","1018","27","132"
"110","248.3","1054.0","115.0","230","1092","26","132"
"111","250.8","1064.9","117.2","217","1048","26","132"
"112","252.8","1073.3","116.7","220","1057","26","132"
"113","255.3","1084.3","116.2","223","1067","28","131"
"114","257.2","1092.8","116.2","223","1067","28","131"
"115","259.8","1103.6","117.4","216","1044","27","132"
"116","261.8","1112.2","117.4","216","1044","27","132"
"117","263.8","1120.8","116.1","224","1069","27","133"
"118","266.2","1131.5","116.4","222","1063","27","133"
"119","268.2","1140.1","117.6","215","1040","27","133"
"120","270.8","1150.9","115.7","226","1077","27","133"
"121","273.2","1161.6","117.8","214","1036","25","133"
"122","275.2","1170.0","117.8","214","1036","25","134"
"123","277.7","1180.9","117.9","214","1034","26","134"
"124","280.2","1191.7","117.2","217","1048","26","134"
"125","282.2","1200.1","117.2","217","1048","26","134"
"126","284.2","1208.5","117.3","217","1046","28","135"
"127","286.7","1219.1","119.1","207","1013","26","135"
"128","289.2","1230.0","116.1","224","1069","27","135"
"129","291.2","1238.4","116.1","224","1069","27","134"
"130","293.7","1249.2","116.8","220","1055","26","134"
"131","295.7","1257.7","116.8","220","1055","26","134"
"132","298.2","1268.5","117.0","219","1052","26","133"
"133","300.2","1277.0","117.0","219","1052","26","133"
"134","302.7","1287.7","117.0","219","1052","27","133"
"135","304.7","1296.3","117.6","215","1040","26","133"
